N›;IES;PROGRAMA;MFD001A;MFD001B;MFD001C;MFD001D;MFD001E;MFD001F;MFD001G;MFD001H;MFD001I;MFD001J;MFD001K;MFD001L;MFD002A;MFD002B;MFD002C;MFD002D;MFD002E;MFD002F;MFD002G;MFD002H;MFD002I;MFD002J;MFD002K;MFD002L;MFD002M;MFD002N;MFD003A;MFD003B;MFD003C;MFD003D;MFD003E;MFD003F;MFD003G;MFD003H;MFD004A;MFD004B;MFD004C;MFD004D;MFD004E;MFD004F;MFD004G;MFD004H;MFD004I;MFD004J;MFD004K;MFD004L;MFD004M;MFD005A;MFD005B;MFD005C;MFD005D;MFD005E;MFD005F;MFD006
OO1;1;Normalista;4;4;1;5;4;4;2;5;5;4;5;6;1;2;4;2;4;2;3;3;4;4;2;3;5;5;2;2;3;2;3;4;4;3;3;4;4;3;3;4;4;2;3;4;4;4;4;5;1;5;4;5;5;4
OO2;1;Normalista;4;6;1;3;6;6;6;5;4;5;6;6;6;3;1;6;4;5;6;6;6;6;5;4;5;5;6;5;4;6;5;6;2;6;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;5;1;1;1
OO3;1;Normalista;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
OO4;1;Normalista;6;5;6;5;4;5;5;6;5;1;6;5;2;4;3;3;4;4;6;6;5;3;6;6;6;5;3;2;5;2;2;5;2;2;4;4;3;4;4;4;4;4;4;4;4;3;2;6;6;6;6;6;6;2
OO5;1;Normalista;3;3;2;3;6;4;4;2;3;1;5;5;4;5;4;4;3;4;3;4;4;4;4;4;4;3;4;4;1;3;4;4;4;5;3;3;3;3;2;1;2;3;2;3;2;3;2;4;4;5;4;5;4;1
OO6;1;Normalista;6;5;4;4;6;5;4;4;3;1;5;5;3;5;5;5;5;5;5;5;2;2;5;6;5;5;6;5;4;5;2;5;5;2;3;3;3;3;4;3;3;2;3;3;3;4;3;6;5;5;5;5;5;3
OO7;1;Normalista;6;6;6;6;5;5;5;6;6;1;6;5;5;5;1;4;6;1;6;6;1;1;4;3;6;4;1;3;5;4;1;5;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;5;5;5;5;5;5;4
OO8;1;Normalista;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
OO9;1;Normalista;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;2;5;4;5;5;2;2;2;2;2;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;3
O10;1;Normalista;1;4;5;5;5;5;5;5;5;1;5;5;1;1;1;1;3;5;6;6;4;3;3;5;5;5;1;1;3;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;4;4;3
O11;1;Normalista;5;5;6;5;5;5;5;4;5;1;6;6;5;5;5;5;4;4;6;6;1;2;5;6;6;6;2;2;4;3;1;6;6;6;4;4;4;3;2;2;2;3;2;2;2;3;3;5;5;5;4;5;5;3
O12;1;Normalista;5;5;4;4;5;4;5;5;5;1;3;5;6;5;5;3;5;4;4;3;3;1;5;4;5;5;3;4;4;3;3;4;1;5;3;3;2;3;1;1;4;2;2;3;3;3;3;5;5;4;5;5;5;2
O13;1;Normalista;6;6;6;6;6;6;3;5;5;1;6;6;5;4;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;6;6;6;6;6;6;1
O14;1;Normalista;4;5;3;4;6;6;6;3;6;1;6;6;6;6;3;6;6;5;5;6;4;3;5;4;5;6;4;5;6;5;5;6;4;5;2;3;4;3;1;3;4;2;3;1;4;3;4;4;3;6;5;4;6;2
O15;1;Normalista;6;5;5;4;5;5;4;5;5;1;5;6;5;4;2;2;6;5;5;6;5;2;5;1;3;4;2;5;4;2;2;4;6;4;4;4;4;3;2;2;3;4;4;4;4;4;4;5;6;6;6;6;6;3
O16;1;Normalista;6;5;5;6;6;5;6;6;4;1;6;5;4;4;4;5;5;4;5;4;5;6;6;1;5;6;4;5;5;6;5;5;6;1;3;3;3;4;4;4;4;1;3;3;4;3;3;6;6;5;6;6;5;3
O17;1;Normalista;5;5;5;3;5;2;5;4;5;1;5;5;4;2;2;2;3;3;6;4;4;3;4;6;4;5;2;2;2;1;2;3;5;2;3;3;3;2;3;2;4;4;3;3;3;4;3;5;5;5;5;6;6;3
O18;1;Normalista;5;4;5;4;5;5;6;4;4;1;4;6;1;4;1;1;4;1;5;5;4;3;1;6;6;4;1;4;5;4;1;2;6;5;4;4;4;3;4;4;4;2;3;3;3;4;3;5;5;5;6;6;6;4
O19;1;Normalista;6;4;6;5;6;6;5;6;6;1;6;6;3;6;3;5;6;6;6;6;5;2;6;5;6;6;3;3;6;2;2;5;5;3;3;4;4;4;3;4;4;4;4;4;4;4;4;6;6;5;5;6;5;3
O20;1;Normalista;6;1;4;6;6;6;5;4;4;1;6;6;5;5;1;1;5;2;6;6;4;4;6;5;4;5;1;4;3;4;1;6;6;2;3;3;3;3;2;2;3;3;3;2;2;2;2;5;5;4;4;4;5;2
O21;1;Normalista;5;5;5;5;5;5;4;5;5;1;6;6;5;5;5;5;5;5;5;5;4;5;5;4;4;6;4;2;4;1;2;2;5;3;3;3;3;3;3;3;3;3;3;2;3;3;3;5;5;5;5;5;5;3
O22;1;Normalista;4;6;3;3;6;4;6;4;4;1;5;5;4;5;2;2;5;5;5;5;3;2;1;4;4;6;2;4;4;4;2;5;5;2;3;4;4;3;4;4;4;4;3;4;3;3;4;5;4;5;5;5;5;3
O23;1;Normalista;4;6;4;6;6;6;6;6;6;1;6;6;6;6;1;6;6;3;6;4;4;4;6;3;6;6;3;4;3;1;1;6;6;1;4;4;4;4;4;4;4;4;4;4;4;4;4;6;6;6;6;6;6;4
O24;1;Normalista;4;4;4;6;4;5;5;3;5;1;4;5;2;3;1;2;3;2;5;3;3;3;5;4;5;5;3;2;3;2;2;2;4;2;3;3;3;4;2;3;4;3;3;4;4;3;3;4;4;4;4;5;4;4
O25;1;Normalista;6;6;6;6;6;6;6;5;6;1;6;6;5;5;3;5;6;6;6;6;5;2;4;5;6;5;5;5;5;4;5;6;6;5;2;3;3;1;3;3;3;3;3;3;3;3;4;6;6;6;6;6;6;3
O26;1;Normalista;5;5;4;5;6;5;5;6;4;1;5;6;5;5;5;5;4;5;5;5;3;4;5;4;4;4;2;3;5;4;2;4;5;2;3;4;4;4;4;4;4;4;4;3;4;4;3;5;4;5;5;5;5;3
O27;1;Normalista;5;6;6;5;6;6;5;6;5;1;5;5;5;5;1;4;5;6;4;6;6;1;5;4;2;4;1;5;6;6;1;5;4;1;4;4;4;4;4;4;4;4;4;4;4;4;4;6;5;6;6;5;6;3
O28;1;Normalista;3;3;3;3;3;3;3;3;3;1;3;3;2;2;2;2;5;3;3;4;3;3;3;3;3;3;2;2;1;1;1;2;2;1;1;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
O29;1;Normalista;5;5;4;3;6;4;4;6;4;1;4;3;5;5;4;6;4;5;4;5;6;4;5;5;4;5;5;5;4;5;3;4;6;1;3;3;3;3;4;2;3;3;3;4;3;3;4;6;5;6;6;6;5;3
O30;1;Normalista;5;5;4;3;6;1;5;6;6;1;6;5;4;4;2;6;6;3;6;4;3;5;4;5;4;5;2;6;6;3;2;4;6;6;4;3;4;4;4;4;3;3;3;4;4;4;4;6;5;6;5;5;5;3
O31;1;Normalista;6;5;6;3;6;6;2;6;3;1;6;6;6;6;6;6;6;6;1;1;6;6;6;6;6;6;4;4;4;6;1;2;6;1;4;4;4;4;4;4;4;4;4;4;4;4;4;6;6;6;4;5;6;4
O32;1;Normalista;6;6;6;6;6;5;5;5;6;1;6;6;4;5;2;3;4;1;5;5;4;2;5;5;5;5;3;4;4;2;3;4;3;2;3;4;4;4;4;3;3;3;3;3;3;4;3;6;6;6;6;6;6;3
O34;1;Normalista;5;6;3;5;5;5;6;4;5;1;4;5;4;5;2;2;5;2;6;5;4;1;3;4;6;5;2;3;4;3;1;5;4;2;4;3;3;4;4;4;4;4;4;4;4;4;3;5;5;4;5;5;5;4
O35;1;Normalista;2;3;6;6;6;6;4;6;6;1;6;6;1;3;2;2;5;2;6;5;3;3;6;6;6;6;2;2;2;2;2;5;5;2;3;3;3;3;4;4;4;4;1;3;3;3;3;6;6;6;6;6;6;4
O36;1;Normalista;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
O37;1;Normalista;4;4;5;5;5;5;5;5;5;1;5;5;4;5;1;2;4;3;4;4;3;3;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
O38;1;Normalista;6;5;5;5;5;5;5;5;5;1;5;5;6;5;5;6;6;6;6;6;6;5;6;5;6;6;2;3;5;2;2;4;2;2;3;4;4;3;4;4;4;3;3;4;4;4;4;6;6;6;6;6;6;3
O39;1;Normalista;4;6;5;5;4;3;6;6;6;1;6;6;1;4;6;1;4;1;6;4;5;4;3;6;4;6;4;1;4;1;1;5;6;4;4;4;4;4;4;4;4;3;3;3;3;4;4;6;6;5;1;1;4;4
O40;1;Normalista;6;6;6;6;6;6;6;5;5;1;5;5;5;6;1;6;5;3;4;6;1;1;5;4;6;5;2;2;4;2;1;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;6;5;4;5;5;6;2
O41;1;Normalista;6;6;5;5;5;5;5;5;5;1;5;5;4;5;5;5;4;1;4;5;4;5;4;5;4;5;1;1;1;4;3;4;5;1;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;2
O42;1;Normalista;5;5;2;3;5;5;5;2;5;1;5;5;3;5;2;2;5;5;5;5;4;2;4;5;4;6;2;2;2;2;2;2;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;3
O43;1;Normalista;5;5;4;5;5;4;3;4;2;1;4;4;3;3;3;4;3;4;4;4;4;5;5;5;5;5;4;3;4;4;3;3;3;3;2;2;3;3;3;3;3;2;3;3;2;4;3;2;3;4;6;5;5;1
O44;1;Normalista;4;5;6;6;5;6;6;6;6;1;6;6;4;4;3;4;5;4;6;6;5;2;5;5;5;5;4;5;5;4;3;6;6;5;4;4;3;3;4;4;4;4;3;4;4;4;4;6;6;6;6;6;6;4
O45;1;Normalista;5;6;6;5;6;4;6;6;5;1;6;6;5;6;2;5;6;2;6;5;1;2;5;6;6;5;2;2;5;5;2;5;6;2;4;4;4;4;2;4;4;4;2;4;4;4;1;6;6;6;6;6;6;3
O46;1;Normalista;5;4;3;4;3;4;5;4;6;1;6;3;1;3;5;4;4;6;6;5;4;1;1;5;6;6;4;4;4;5;1;1;1;6;4;3;4;4;4;4;3;3;2;2;4;3;2;5;5;5;2;6;6;3
O47;1;Normalista;3;2;4;5;6;4;3;6;6;1;5;5;2;5;1;3;5;1;3;5;5;2;5;5;5;5;3;3;1;2;2;6;4;2;4;4;4;1;4;4;4;4;4;4;4;4;4;6;6;6;6;6;6;4
O48;1;Normalista;1;5;6;6;5;5;6;5;6;1;6;5;5;6;5;6;5;6;5;6;5;6;5;1;5;5;3;6;3;6;3;6;3;6;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;3
O49;1;Normalista;5;6;6;5;5;6;6;6;6;1;6;6;3;5;3;1;5;4;6;6;5;4;4;5;5;5;1;2;2;1;1;4;5;2;3;3;2;3;1;3;3;4;1;3;3;4;4;5;5;5;5;5;5;3
O50;1;Normalista;4;4;3;2;3;6;6;5;6;1;4;6;2;3;1;3;3;3;6;6;3;3;6;6;6;6;1;4;3;1;1;3;6;1;3;3;4;4;4;4;4;2;2;3;4;2;1;5;5;2;5;4;4;3
O51;1;Normalista;5;5;5;6;6;5;3;5;5;1;4;5;3;5;1;3;4;3;6;6;3;4;6;5;6;5;3;3;4;3;1;6;5;3;4;4;4;3;4;4;4;4;4;4;3;4;3;6;6;6;6;6;6;3
O52;1;Normalista;6;4;4;5;5;5;5;3;4;1;5;3;3;3;3;3;5;1;5;5;5;3;4;4;4;5;2;2;3;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
O53;1;Normalista;3;6;4;4;4;5;4;3;4;1;5;6;3;4;1;2;5;1;6;4;4;3;5;4;2;6;3;3;3;1;1;5;4;1;4;3;4;3;2;4;4;4;4;4;4;4;4;6;6;6;5;5;5;3
O54;1;Normalista;4;3;4;6;5;5;4;4;4;1;5;5;3;3;1;3;3;4;6;5;2;2;6;5;4;4;1;2;2;2;2;4;3;2;3;4;3;4;2;4;3;3;2;3;3;3;3;5;5;5;5;4;4;3
O55;1;Normalista;3;4;4;5;4;4;3;4;4;1;4;4;3;4;4;3;5;4;4;5;3;1;5;4;6;6;4;2;3;3;2;2;3;3;3;3;4;4;3;4;4;4;4;4;4;4;4;6;6;6;6;6;6;3
O56;1;Normalista;5;5;4;5;6;5;5;6;6;1;6;5;3;3;3;2;6;2;6;4;3;2;6;2;6;6;3;2;2;3;2;4;4;3;3;3;3;3;2;4;4;4;3;4;4;3;3;6;5;6;6;6;6;3
O57;1;Normalista;6;6;6;6;6;6;5;6;6;1;6;6;6;6;2;4;6;4;6;6;2;2;6;6;6;6;1;1;4;1;1;4;4;2;4;4;4;4;2;4;4;4;1;4;4;4;4;6;6;6;6;1;6;4
O58;1;Normalista;6;1;6;6;6;6;6;6;6;1;6;6;6;6;1;3;6;6;6;6;4;5;6;4;6;6;1;1;1;1;1;1;4;1;4;4;4;4;4;4;4;4;4;4;4;4;4;6;6;6;6;6;6;4
O59;1;Normalista;6;5;1;6;6;3;1;6;1;1;6;4;6;4;1;4;6;5;6;4;4;2;5;3;5;6;1;1;4;1;1;5;6;3;3;3;2;4;2;3;1;3;4;4;2;3;2;5;4;5;6;4;5;3
O60;1;Normalista;5;4;3;2;4;3;4;6;5;1;3;4;4;3;4;2;2;3;4;5;4;2;2;6;6;6;4;2;3;3;1;2;6;2;2;3;3;3;4;2;2;3;4;3;3;3;4;4;3;5;4;6;6;4
O61;1;Normalista;3;4;3;4;4;3;4;4;4;1;4;4;5;4;1;2;5;4;4;4;3;4;3;4;4;4;3;3;3;4;2;4;6;2;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;4;4;3;3;3
O62;1;Normalista;3;5;1;3;4;4;5;4;4;1;5;4;5;5;4;5;4;4;4;5;4;5;4;4;5;6;4;5;5;5;4;5;4;5;3;3;3;3;4;4;4;4;4;3;4;4;4;6;6;6;6;6;5;3
O63;1;Normalista;4;5;4;5;4;4;5;1;5;1;5;4;5;4;5;4;5;4;5;4;5;4;4;5;4;4;5;5;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
O64;1;Normalista;5;5;4;4;6;5;4;5;5;1;6;6;3;3;1;1;4;3;6;6;1;3;5;5;5;5;3;3;1;1;1;5;4;3;3;3;3;3;2;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4
O65;1;Normalista;6;5;4;4;4;4;5;6;5;1;4;5;5;4;3;6;6;1;2;4;3;4;5;5;5;6;3;1;3;3;1;4;4;3;3;4;4;4;3;3;3;3;3;2;3;4;3;4;4;4;5;5;5;3
O66;1;Normalista;5;5;1;4;6;3;6;3;4;1;6;3;4;4;3;4;3;2;6;3;4;2;4;3;3;4;4;6;4;4;2;4;6;6;3;3;4;2;3;2;3;4;3;3;4;4;3;4;4;5;3;3;3;3
O67;1;Normalista;4;4;4;5;2;4;4;5;4;1;4;4;2;3;1;2;5;2;6;5;3;1;6;4;4;5;1;1;1;1;2;3;4;2;4;4;4;3;4;2;4;4;4;3;4;3;4;5;6;5;6;6;6;3
O68;1;Normalista;5;5;6;5;4;4;4;5;6;1;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;5;4;6;4;4;5;6;3;4;3;2;4;3;3;4;2;4;3;4;4;6;5;6;6;4;6;3
O69;1;Normalista;5;6;4;6;6;5;6;6;6;1;6;5;5;6;5;4;2;5;6;4;4;4;4;5;5;5;3;3;3;4;1;4;6;5;3;3;3;3;4;3;3;4;3;4;4;4;4;5;3;5;5;4;5;3
O70;1;Normalista;5;5;4;4;6;5;6;4;2;1;4;5;5;4;2;3;5;3;2;4;2;3;4;4;4;4;2;4;4;3;1;3;4;2;3;2;3;2;3;3;3;2;3;3;3;4;4;5;3;5;4;5;6;2
O71;1;Normalista;4;5;3;2;4;5;4;1;5;1;5;5;4;4;4;4;4;5;4;5;5;4;5;6;5;5;2;4;2;4;2;4;4;4;3;3;4;3;4;4;4;3;4;3;3;4;4;5;6;6;6;6;6;3
O72;1;Normalista;5;4;5;6;6;6;5;5;6;1;5;6;4;6;3;5;5;2;6;6;3;5;6;6;6;6;6;4;4;4;1;3;6;6;4;4;4;4;4;4;4;3;3;3;4;4;4;6;6;6;5;5;6;3
O73;1;Normalista;4;5;5;4;5;4;5;4;5;1;6;6;4;4;3;2;3;3;5;5;3;3;6;5;6;6;1;3;3;4;2;4;6;6;3;3;3;3;2;3;4;3;2;2;4;4;2;6;5;5;4;5;6;3
O74;1;Normalista;5;5;6;5;6;6;3;6;3;1;6;6;2;2;4;2;6;3;5;4;5;5;6;5;5;6;2;2;1;1;1;2;6;6;3;3;3;2;3;3;3;4;3;4;4;3;3;6;4;5;6;5;5;3
O75;1;Normalista;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
O76;1;Normalista;5;3;5;5;5;5;5;5;5;1;5;5;2;2;2;2;5;3;5;5;3;3;4;4;3;4;3;3;4;4;2;3;4;1;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;5;5;5;5;3
O77;2;Normalista;4;5;3;3;5;4;5;4;5;1;4;4;4;4;2;4;3;3;6;5;5;1;5;4;5;5;2;3;2;2;1;4;4;4;3;3;3;2;3;2;3;3;3;3;3;3;4;3;2;5;5;5;5;3
O78;2;Normalista;5;5;4;3;5;3;3;5;5;1;6;5;3;5;3;1;5;2;5;5;4;5;4;4;4;5;2;3;1;3;2;3;2;4;3;4;3;2;4;2;3;3;3;3;4;4;3;5;6;6;5;5;5;3
O79;2;Normalista;6;6;5;6;6;6;5;6;6;1;6;6;4;5;2;3;3;2;5;5;4;1;5;4;4;5;3;3;3;3;3;4;4;3;3;3;4;2;4;4;4;4;3;4;4;4;4;6;5;5;5;6;6;4
O80;2;Normalista;6;6;5;6;6;6;5;6;6;1;6;6;1;1;1;5;5;1;6;6;1;5;6;6;6;6;6;1;2;1;1;6;5;1;4;4;4;4;4;4;4;4;4;4;4;4;4;6;6;6;6;6;6;1
O81;2;Normalista;2;1;2;1;1;1;1;2;1;1;1;1;3;3;5;1;2;4;1;1;3;4;1;1;1;1;3;4;4;4;3;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;3
O82;2;Normalista;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;2;3;3;2;3;5;5;4;4;4;4;3;3;4;3;3;4;4;4;4;4;3;3;5;6;6;3
O83;2;Normalista;4;4;4;5;5;2;2;4;4;1;5;4;2;2;2;1;3;3;6;5;4;4;3;5;5;5;2;2;4;3;1;3;5;1;3;3;3;4;4;4;4;4;3;4;4;3;4;6;5;5;5;5;5;3
O84;2;Normalista;5;6;6;6;6;5;5;6;6;1;4;6;4;2;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
O85;2;Normalista;5;5;4;4;5;4;5;5;6;1;6;4;4;4;3;3;3;4;5;5;4;1;4;4;2;4;4;4;3;4;3;4;6;3;3;3;4;3;4;4;4;3;3;3;3;4;3;6;4;4;1;5;5;3
O86;2;Normalista;6;4;4;6;6;6;6;6;6;1;6;6;6;6;1;4;6;1;6;6;1;3;6;3;6;6;1;5;3;1;1;5;6;1;4;4;4;4;4;4;4;4;4;4;4;4;4;6;6;6;6;6;6;4
O87;2;Normalista;6;6;1;5;6;6;6;5;6;1;6;4;5;6;1;4;4;4;6;6;6;5;6;6;5;6;2;3;1;1;1;1;4;5;3;3;3;3;4;4;4;4;3;4;4;3;3;6;6;5;5;5;4;3
O88;2;Normalista;5;4;5;5;6;5;4;2;5;1;5;6;6;4;1;1;5;5;5;5;1;4;4;4;5;6;1;2;3;1;2;3;4;4;4;3;4;3;4;4;4;2;4;3;4;3;4;4;4;4;5;5;5;3
O89;2;Normalista;6;4;6;4;6;4;6;6;4;1;6;6;5;4;3;2;6;5;6;4;2;2;4;2;5;5;4;3;4;2;2;3;4;2;4;3;4;4;4;4;4;3;3;4;4;3;4;6;5;5;5;4;5;3
O90;2;Normalista;6;5;6;6;5;6;6;6;6;1;6;5;4;4;4;5;6;4;5;4;5;6;4;6;5;5;2;3;2;4;2;3;3;1;4;4;3;4;4;4;3;3;4;4;4;3;4;5;4;5;5;5;6;3
O91;2;Normalista;6;6;6;6;6;2;6;4;5;1;6;6;6;6;1;3;4;2;6;5;2;1;6;4;5;5;3;4;5;2;2;4;4;4;4;4;4;3;3;3;4;4;3;4;4;4;4;5;5;5;6;6;6;2
O92;2;Normalista;5;5;4;4;5;4;4;3;4;1;5;5;4;4;2;4;4;3;5;5;3;4;5;4;4;4;2;4;4;5;3;4;4;3;2;2;3;2;2;3;3;3;2;2;3;3;3;5;5;5;5;5;5;3
O93;2;Normalista;4;5;1;4;6;4;4;2;4;1;5;5;5;5;3;3;6;4;6;6;2;2;6;5;5;4;2;2;2;2;1;1;5;1;4;4;4;3;4;3;4;4;4;4;4;4;4;5;5;5;3;2;2;1
O94;2;Normalista;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;3;3;2;3;1;2;2;1;3;3;3;3;4;4;4;4;4;4;2
O95;2;Normalista;4;4;5;6;4;5;5;5;6;1;6;6;4;3;2;1;3;2;6;6;4;1;6;5;5;6;2;3;1;4;1;3;6;1;2;2;2;1;1;2;2;3;1;2;2;2;3;4;2;3;5;5;5;2
O96;2;Normalista;6;6;6;6;6;6;6;6;6;1;6;6;4;4;6;4;4;2;6;6;2;3;6;6;2;6;2;2;2;2;1;6;6;1;4;4;4;4;4;4;4;4;4;4;4;4;4;6;6;6;6;6;6;1
O97;2;Normalista;3;3;3;1;3;1;1;3;3;1;1;1;1;1;3;3;1;1;1;1;1;3;1;1;1;1;5;5;3;4;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4
O98;2;Normalista;5;4;4;3;5;3;5;2;2;1;6;6;3;3;3;5;2;4;1;3;3;4;2;4;4;3;1;3;3;3;3;4;4;4;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;2
O99;2;Normalista;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
100;2;Normalista;5;5;5;5;6;5;5;5;5;1;5;5;5;5;1;2;4;1;5;5;4;2;5;4;5;5;3;3;2;2;1;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;5;6;6;6;6;6;3
101;2;Normalista;6;6;6;6;6;6;6;6;6;1;6;6;3;4;4;5;5;3;5;5;5;2;6;5;3;5;2;5;4;2;2;5;6;5;4;3;3;3;4;4;4;3;3;3;4;4;4;6;6;6;6;6;6;3
